timestamp,type,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,priority,idle_timeout,hard_timeout,byte_count,packet_count,cookie,table_id,duration_sec,duration_nsec,length,flags,actions,match,group_id,ref_count,flow_count,packet_in_count,aggregate_packet_count,aggregate_byte_count,aggregate_flow_count,cpu_util,active_flows,entropy,
1722502606,port_and_flow_stats,2,6,268,94,15214,7878,0,0,0,0,0,0,0,0,100,0,0,966,21,0,0,1702,524000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,82.1,6,1.037706776,
1722502606,port_and_flow_stats,2,4,42,39,2280,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1702,488000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,82.1,6,1.037706776,
1722502606,port_and_flow_stats,2,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1702,469000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,82.1,6,1.037706776,
1722502606,port_and_flow_stats,2,1,59,39,2966,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1702,440000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,82.1,6,1.037706776,
1722502606,port_and_flow_stats,2,5,59,282,3022,17111,0,0,0,0,0,0,0,0,100,0,0,1092,22,0,0,1702,411000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,82.1,6,1.037706776,
1722502606,port_and_flow_stats,2,2,41,39,2210,4980,0,0,0,0,0,0,0,0,100,0,0,12131,243,0,0,1702,274000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,82.1,6,1.037706776,
1722502612,port_and_flow_stats,1,6,94,268,7878,15214,0,0,0,0,0,0,0,0,100,0,0,2548,58,0,0,1760,232000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,71.3,6,2.543465374,
1722502612,port_and_flow_stats,1,4,89,39,4226,4980,0,0,0,0,0,0,0,0,100,0,0,2170,49,0,0,1760,209000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,71.3,6,2.543465374,
1722502612,port_and_flow_stats,1,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1414,31,0,0,1760,195000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,71.3,6,2.543465374,
1722502612,port_and_flow_stats,1,1,123,39,5682,4980,0,0,0,0,0,0,0,0,100,0,0,1918,43,0,0,1760,174000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,71.3,6,2.543465374,
1722502612,port_and_flow_stats,1,5,85,496,4114,44078,0,0,0,0,0,0,0,0,100,0,0,2184,48,0,0,1760,161000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,71.3,6,2.543465374,
1722502612,port_and_flow_stats,1,2,113,40,5234,5050,0,0,0,0,0,0,0,0,100,0,0,4795,69,0,0,1760,22000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,71.3,6,2.543465374,
1722502612,port_and_flow_stats,2,6,268,94,15214,7878,0,0,0,0,0,0,0,0,100,0,0,966,21,0,0,1708,723000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,71.3,6,1.037706776,
1722502612,port_and_flow_stats,2,4,42,39,2280,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1708,687000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,71.3,6,1.037706776,
1722502612,port_and_flow_stats,2,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1708,668000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,71.3,6,1.037706776,
1722502612,port_and_flow_stats,2,1,59,39,2966,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1708,639000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,71.3,6,1.037706776,
1722502612,port_and_flow_stats,2,5,59,282,3022,17111,0,0,0,0,0,0,0,0,100,0,0,1092,22,0,0,1708,610000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,71.3,6,1.037706776,
1722502612,port_and_flow_stats,2,2,41,39,2210,4980,0,0,0,0,0,0,0,0,100,0,0,12131,243,0,0,1708,473000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,71.3,6,1.037706776,
1722502619,port_and_flow_stats,1,6,94,268,7878,15214,0,0,0,0,0,0,0,0,100,0,0,2548,58,0,0,1766,467000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,67,6,2.543465374,
1722502619,port_and_flow_stats,1,4,89,39,4226,4980,0,0,0,0,0,0,0,0,100,0,0,2170,49,0,0,1766,444000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,67,6,2.543465374,
1722502619,port_and_flow_stats,1,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1414,31,0,0,1766,430000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,67,6,2.543465374,
1722502619,port_and_flow_stats,1,1,123,39,5682,4980,0,0,0,0,0,0,0,0,100,0,0,1918,43,0,0,1766,409000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,67,6,2.543465374,
1722502619,port_and_flow_stats,1,5,85,515,4114,45846,0,0,0,0,0,0,0,0,100,0,0,2184,48,0,0,1766,396000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,67,6,2.543465374,
1722502619,port_and_flow_stats,1,2,113,40,5234,5050,0,0,0,0,0,0,0,0,100,0,0,4795,69,0,0,1766,257000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,67,6,2.543465374,
1722502619,port_and_flow_stats,2,6,268,94,15214,7878,0,0,0,0,0,0,0,0,100,0,0,966,21,0,0,1714,916000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,67,6,1.037706776,
1722502619,port_and_flow_stats,2,4,42,39,2280,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1714,880000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,67,6,1.037706776,
1722502619,port_and_flow_stats,2,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1714,861000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,67,6,1.037706776,
1722502619,port_and_flow_stats,2,1,59,39,2966,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1714,832000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,67,6,1.037706776,
1722502619,port_and_flow_stats,2,5,59,282,3022,17111,0,0,0,0,0,0,0,0,100,0,0,1092,22,0,0,1714,803000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,67,6,1.037706776,
1722502619,port_and_flow_stats,2,2,41,39,2210,4980,0,0,0,0,0,0,0,0,100,0,0,12131,243,0,0,1714,666000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,67,6,1.037706776,
1722502625,port_and_flow_stats,1,6,94,268,7878,15214,0,0,0,0,0,0,0,0,100,0,0,2548,58,0,0,1772,679000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,88.1,6,2.543465374,
1722502625,port_and_flow_stats,1,4,89,39,4226,4980,0,0,0,0,0,0,0,0,100,0,0,2170,49,0,0,1772,656000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,88.1,6,2.543465374,
1722502625,port_and_flow_stats,1,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1414,31,0,0,1772,642000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,88.1,6,2.543465374,
1722502625,port_and_flow_stats,1,1,123,39,5682,4980,0,0,0,0,0,0,0,0,100,0,0,1918,43,0,0,1772,621000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,88.1,6,2.543465374,
1722502625,port_and_flow_stats,1,5,85,536,4114,47363,0,0,0,0,0,0,0,0,100,0,0,2184,48,0,0,1772,608000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,88.1,6,2.543465374,
1722502625,port_and_flow_stats,1,2,113,40,5234,5050,0,0,0,0,0,0,0,0,100,0,0,4795,69,0,0,1772,469000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,88.1,6,2.543465374,
1722502625,port_and_flow_stats,2,6,268,94,15214,7878,0,0,0,0,0,0,0,0,100,0,0,966,21,0,0,1721,189000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,88.1,6,1.037706776,
1722502625,port_and_flow_stats,2,4,42,39,2280,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1721,153000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,88.1,6,1.037706776,
1722502625,port_and_flow_stats,2,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1721,134000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,88.1,6,1.037706776,
1722502625,port_and_flow_stats,2,1,59,39,2966,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1721,105000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,88.1,6,1.037706776,
1722502625,port_and_flow_stats,2,5,59,282,3022,17111,0,0,0,0,0,0,0,0,100,0,0,1092,22,0,0,1721,76000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,88.1,6,1.037706776,
1722502625,port_and_flow_stats,2,2,41,39,2210,4980,0,0,0,0,0,0,0,0,100,0,0,12131,243,0,0,1720,939000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,88.1,6,1.037706776,
1722502631,port_and_flow_stats,1,6,94,268,7878,15214,0,0,0,0,0,0,0,0,100,0,0,2548,58,0,0,1778,943000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,72.4,6,2.543465374,
1722502631,port_and_flow_stats,1,4,89,39,4226,4980,0,0,0,0,0,0,0,0,100,0,0,2170,49,0,0,1778,920000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,72.4,6,2.543465374,
1722502631,port_and_flow_stats,1,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1414,31,0,0,1778,906000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,72.4,6,2.543465374,
1722502631,port_and_flow_stats,1,1,123,39,5682,4980,0,0,0,0,0,0,0,0,100,0,0,1918,43,0,0,1778,885000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,72.4,6,2.543465374,
1722502631,port_and_flow_stats,1,5,85,554,4114,48699,0,0,0,0,0,0,0,0,100,0,0,2184,48,0,0,1778,872000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,72.4,6,2.543465374,
1722502631,port_and_flow_stats,1,2,113,40,5234,5050,0,0,0,0,0,0,0,0,100,0,0,4795,69,0,0,1778,733000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,72.4,6,2.543465374,
1722502631,port_and_flow_stats,2,6,268,94,15214,7878,0,0,0,0,0,0,0,0,100,0,0,966,21,0,0,1727,384000000,88,0,"[""OUTPUT:6""]","{""in_port"": 1}",,,6,0,298,15029,6,72.4,6,1.037706776,
1722502631,port_and_flow_stats,2,4,42,39,2280,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1727,348000000,88,0,"[""OUTPUT:6""]","{""in_port"": 2}",,,6,0,298,15029,6,72.4,6,1.037706776,
1722502631,port_and_flow_stats,2,LOCAL,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1727,329000000,88,0,"[""OUTPUT:6""]","{""in_port"": 3}",,,6,0,298,15029,6,72.4,6,1.037706776,
1722502631,port_and_flow_stats,2,1,59,39,2966,4980,0,0,0,0,0,0,0,0,100,0,0,280,4,0,0,1727,300000000,88,0,"[""OUTPUT:6""]","{""in_port"": 4}",,,6,0,298,15029,6,72.4,6,1.037706776,
1722502631,port_and_flow_stats,2,5,59,282,3022,17111,0,0,0,0,0,0,0,0,100,0,0,1092,22,0,0,1727,271000000,88,0,"[""OUTPUT:6""]","{""in_port"": 5}",,,6,0,298,15029,6,72.4,6,1.037706776,
1722502631,port_and_flow_stats,2,2,41,39,2210,4980,0,0,0,0,0,0,0,0,100,0,0,12131,243,0,0,1727,134000000,88,0,"[""OUTPUT:5""]","{""in_port"": 6}",,,6,0,298,15029,6,72.4,6,1.037706776,
